Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
15:41:15,2726,660,174464000,42240000,11.79,11.7,11.79,11.7,544.54,131.84,34850860.39,8437950.05,100%,100%,0,0,0
15:41:20,2735,659,175040000,42176000,11.77,11.66,11.77,11.66,546.15,131.6,34953810.83,8422170.92,100%,100%,1,1,1
15:41:25,2744,682,175616000,43648000,11.68,11.56,11.68,11.56,548.18,136.24,35083223.97,8719150.82,100%,100%,2,2,2
15:41:30,2756,664,176384000,42496000,11.71,11.54,11.71,11.53,550.57,132.65,35236330.14,8489393.02,100%,100%,3,3,3
15:41:35,2777,659,177728000,42176000,11.65,11.52,11.65,11.51,554.93,131.69,35515344,8428093.62,100%,100%,4,4,4
15:41:40,2738,706,175232000,45184000,11.61,11.53,11.61,11.53,547.12,141.08,35015745.57,9028904.26,100%,100%,5,5,5
15:41:45,2736,676,175104000,43264000,11.71,11.66,11.71,11.65,546.58,135.05,34981202.84,8643297.25,100%,100%,6,6,6
15:41:50,2764,675,176896000,43200000,11.64,11.51,11.64,11.51,551.92,134.78,35322849.96,8626023.03,100%,100%,7,7,7
15:41:55,2746,675,175744000,43200000,11.68,11.63,11.68,11.63,548.61,134.86,35110956.47,8630845.87,100%,100%,8,8,8
15:42:00,2763,666,176832000,42624000,11.66,11.58,11.66,11.57,551.93,133.04,35323261.33,8514280.65,100%,100%,9,9,9
15:42:05,2742,674,175488000,43136000,11.71,11.57,11.71,11.57,547.78,134.65,35058231.05,8617450.5,100%,100%,10,10,10
15:42:10,2733,691,174912000,44224000,11.68,11.53,11.68,11.52,546.25,138.11,34959701.57,8839045.44,100%,100%,11,11,11
15:42:15,2751,664,176064000,42496000,11.71,11.6,11.71,11.6,549.62,132.66,35175661.75,8490492.19,100%,100%,12,12,12
15:42:20,2733,685,174912000,43840000,11.72,11.53,11.72,11.52,545.95,136.83,34940560.55,8757373.73,100%,100%,13,13,13
